Year,CIUDAD,Counts,DATE_DUE,DATE_DELIVERED,Link
2011,Acacias,4435656706,21/07/2012,22/08/2012,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-132347
2011,Acacias,1990843008,07/09/2012,09/12/2012,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3506648
2011,Acacias,1251231444,29/04/2012,29/06/2012,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-138470
2012,Acacias,1512533567,18/04/2013,18/07/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-147473
2012,Acacias,925611131,24/08/2012,25/01/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3687361
2012,Acacias,459280113,19/02/2013,21/03/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-130031
2013,Acacias,3554743035,22/10/2012,22/11/2012,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-135648
2013,Acacias,431024129,25/09/2013,26/10/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-136279
2014,Acacias,11200516920,07/01/2015,09/03/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-3807970
2014,Acacias,6349649488,07/01/2015,09/04/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-140834
2014,Acacias,4678375978,29/07/2015,29/10/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-4-4027010
2014,Acacias,2428998212,03/03/2015,03/06/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-4-3831774
2014,Acacias,597457281,03/06/2014,04/07/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-3314050
2014,Acacias,297678899,15/11/2014,16/12/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-130918
2014,Acacias,714131004,30/12/2014,01/03/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3534997
2010,Acacias,2499811656,29/10/2011,29/01/2012,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-131320
2014,Acacias,40363473,04/08/2014,05/09/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-128188
