Year,CIUDAD,Counts,DATE_DUE,DATE_DELIVERED,Link
2014,Aguadas,107891663,29/04/2015,29/05/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-4052364
2015,Aguadas,855005208,05/09/2015,06/11/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-132396
2010,Aguadas,124081216,31/01/2011,01/04/2011,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-13-3855748
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
