Year,CIUDAD,Counts,DATE_DUE,DATE_DELIVERED,Link
2010,Aguazul,1956073547,27/03/2012,27/08/2012,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-13-3616326
2010,Aguazul,251780225,28/03/2011,27/04/2011,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-13-3481682
2010,Aguazul,173231379,04/03/2011,03/04/2011,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-138283
2013,Aguazul,149995177,12/12/2013,13/04/2020,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-134887
2013,Aguazul,3375030808,16/07/2014,16/11/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-134887
2013,Aguazul,495168607,23/01/2014,25/03/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-138089
2013,Aguazul,473125253,17/12/2013,18/02/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-133139
2014,Aguazul,3373690749,07/01/2015,24/01/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-13-3616975
2014,Aguazul,2643066603,30/12/2014,30/07/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-4-3720213
2014,Aguazul,2511392378,27/03/2015,26/05/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-131224
2014,Aguazul,2196411037,22/04/2015,22/06/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-133334
2014,Aguazul,2273393494,15/03/2015,17/05/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-134617
2014,Aguazul,2020961595,20/02/2015,22/03/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-132933
2014,Aguazul,807357376,04/12/2014,05/03/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3356320
2014,Aguazul,773470003,23/12/2014,24/03/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-3993023
2014,Aguazul,863983987,29/06/2015,28/08/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-3990275
2014,Aguazul,716638144,29/04/2015,29/07/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-4-3609066
2014,Aguazul,459579281,27/12/2014,28/02/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-128304
2014,Aguazul,437827751,23/05/2015,22/07/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-4-3606852
2014,Aguazul,535627844,04/08/2015,04/02/2016,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-133008
2014,Aguazul,530732525,14/03/2015,13/04/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-140477
2014,Aguazul,457782425,23/03/2015,22/04/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-142817
2014,Aguazul,229327053,02/01/2015,02/04/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-134376
2015,Aguazul,1064407634,08/01/2016,09/02/2016,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-140620
2011,Aguazul,1009939176,03/08/2011,04/12/2011,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-4-3781897
2011,Aguazul,1503774055,11/11/2011,13/12/2011,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-15-4120725
