Year,CIUDAD,Counts,DATE_DUE,DATE_DELIVERED,Link
2012,Apartado,2236937291,26/12/2012,27/01/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-147922
2012,Apartado,1111593462,04/07/2013,03/09/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-131539
2012,Apartado,550724112,16/05/2013,15/07/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-130613
2012,Apartado,241520978,11/11/2012,12/12/2012,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-136544
2014,Apartado,3442771326,14/08/2014,13/11/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-131527
2014,Apartado,1635759742,28/08/2014,26/02/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3913923
2014,Apartado,452280096,02/10/2014,01/02/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-4041240
2014,Apartado,632013915,07/09/2014,06/12/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3992104
2014,Apartado,442087349,16/02/2015,18/04/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-4035833
2014,Apartado,474493437,07/09/2014,06/12/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-131204
2015,Apartado,6380343775,09/02/2016,10/09/2016,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-13-3322077
2015,Apartado,93837237,05/08/2015,06/09/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-135972
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
