Year,CIUDAD,Counts,DATE_DUE,DATE_DELIVERED,Link
2010,Arauca,1.39162E+11,12/11/2010,14/01/2011,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-128806
2010,Arauca,1999978673,26/12/2010,27/02/2011,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-3473675
2010,Arauca,2299999198,30/12/2010,28/02/2011,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-13-4096574
2010,Arauca,1100000000,06/09/2011,05/11/2011,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-136993
2010,Arauca,1649999999,01/01/2011,02/04/2011,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-151830
2010,Arauca,1618553276,16/01/2011,17/02/2011,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-133889
2010,Arauca,1402772090,20/08/2010,21/09/2010,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-148647
2010,Arauca,638099858,05/08/2010,06/09/2010,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-13-3918696
2010,Arauca,379134482,11/10/2010,12/12/2010,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-3981452
2010,Arauca,549979897,13/01/2011,14/04/2011,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-135024
2011,Arauca,1721308340,14/03/2012,15/05/2012,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-131881
2011,Arauca,854794266,30/01/2012,01/06/2012,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-135640
2013,Arauca,249962032,21/03/2013,19/04/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-11-3188864
2013,Arauca,304650880,19/06/2013,20/09/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-135379
2013,Arauca,8765294970,16/04/2014,16/07/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-129260
2013,Arauca,7559529960,09/09/2013,11/03/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-3723741
2013,Arauca,8083253850,12/12/2014,15/09/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-13-3467211
2013,Arauca,5277109514,24/11/2014,26/08/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-137997
2013,Arauca,3809353853,27/07/2014,28/02/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-138477
2013,Arauca,2784954236,08/12/2014,09/02/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-130839
2013,Arauca,2620811087,10/09/2014,11/01/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-130871
2013,Arauca,2915725491,21/12/2013,20/07/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-130759
2013,Arauca,1473926360,25/07/2014,26/11/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-130844
2013,Arauca,1428154265,18/08/2013,19/09/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-130930
2013,Arauca,1465720601,05/06/2013,06/12/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-130931
2013,Arauca,1603628263,21/02/2014,23/07/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-137200
2013,Arauca,964514460,25/12/2013,25/04/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-4099240
2013,Arauca,666399537,20/05/2013,21/06/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3495324
2014,Arauca,6119813672,10/08/2014,11/09/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-4-3666134
2014,Arauca,1880326092,19/06/2015,21/08/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-13-3790036
2014,Arauca,576221393,04/10/2014,05/11/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-138026
2014,Arauca,304716508,06/01/2015,06/02/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-138639
2015,Arauca,2557338244,25/05/2015,23/08/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-130817
2015,Arauca,2403868106,21/06/2015,20/08/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-136327
2015,Arauca,2146400078,01/06/2015,09/07/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-136327
2015,Arauca,1367794530,08/06/2015,07/08/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-130817
2015,Arauca,1210894632,28/04/2015,27/06/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-136327
2013,Arauca,349996640,22/08/2013,23/09/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-136327
2010,Arauca,584605326,29/12/2010,29/01/2011,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-141336
2013,Arauca,14496000,26/08/2013,25/09/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-136327
