Year,CIUDAD,Counts,DATE_DUE,DATE_DELIVERED,Link
2010,Arauquita,1619999428,14/06/2011,16/07/2011,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=13-11-2183739
2010,Arauquita,513090624,16/04/2011,18/07/2011,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-136327
2010,Arauquita,449998613,26/11/2010,28/01/2011,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-136327
2010,Arauquita,149978016,24/10/2010,25/11/2010,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-136327
2011,Arauquita,8915308369,17/03/2012,17/05/2012,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-136327
2011,Arauquita,2699995624,30/01/2012,01/05/2012,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-136327
2011,Arauquita,549927054,23/12/2011,25/02/2012,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-4009994
2013,Arauquita,329830405,06/07/2013,07/09/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3671024
2013,Arauquita,441455167,31/12/2013,01/04/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3452608
2013,Arauquita,185995755,01/07/2013,01/08/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-143739
2013,Arauquita,172479449,18/07/2014,19/08/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-143739
2013,Arauquita,8626886020,08/03/2014,08/11/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-4-3831805
2013,Arauquita,649998045,25/07/2013,26/08/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-4-3968934
2013,Arauquita,767351510,16/10/2013,17/12/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-142021
2013,Arauquita,375565596,07/01/2014,09/02/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-143739
2014,Arauquita,120059153,03/04/2015,02/06/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3599665
2015,Arauquita,14070307745,30/12/2015,01/04/2016,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-4001105
2015,Arauquita,89972315,01/12/2015,02/01/2016,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-4-4122875
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
