Year,CIUDAD,Counts,DATE_DUE,DATE_DELIVERED,Link
2013,Armenia,20780121,25/12/2013,25/01/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-131108
2013,Armenia,20419852,20/09/2013,21/11/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-145407
2014,Armenia,173203356,30/01/2015,01/03/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-4-3662043
2010,Armenia,268530102,29/12/2010,28/02/2011,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-130985
2011,Armenia,1766104746,20/03/2012,19/09/2012,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-136052
2012,Armenia,367167388,28/04/2013,28/06/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3854742
2012,Armenia,358251605,09/08/2012,10/10/2012,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3947778
2012,Armenia,147933076,25/08/2012,25/09/2012,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-131220
2014,Armenia,1665058332,29/12/2014,29/01/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-136960
2014,Armenia,114188923,05/09/2014,07/10/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3700634
2015,Armenia,3047303138,08/06/2015,07/10/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-133739
2015,Armenia,902586831,07/06/2015,06/08/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3543876
2012,Armenia,480895000,14/01/2014,15/08/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3543876
2012,Armenia,457095683,14/01/2014,15/08/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-145499
2011,Armenia,387189431,30/12/2011,01/03/2012,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-4083285
2015,Armenia,662202528,16/11/2015,17/03/2016,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-148959
2015,Armenia,3993501130,21/12/2015,23/02/2016,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-142615
2015,Armenia,3883590077,25/10/2015,27/03/2016,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3809821
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
