Year,CIUDAD,Counts,DATE_DUE,DATE_DELIVERED,Link
2011,Barrancabermeja,17810429102,27/08/2013,28/05/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-140119
2011,Barrancabermeja,1154551612,23/07/2012,24/10/2012,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3787417
2012,Barrancabermeja,1160616970,17/12/2012,17/03/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-4290940
2013,Barrancabermeja,5862637671,14/10/2013,15/01/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-123389
2013,Barrancabermeja,720967663,07/02/2014,08/04/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3745373
2013,Barrancabermeja,5605763400,05/02/2014,07/05/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3620939
2013,Barrancabermeja,1997517592,31/01/2014,02/03/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3638700
2013,Barrancabermeja,657947415,29/08/2013,30/09/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-4137709
2014,Barrancabermeja,2108231497,22/10/2015,22/03/2016,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-145305
2014,Barrancabermeja,906233949,21/02/2015,22/03/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3936062
2014,Barrancabermeja,1060366831,27/09/2014,29/11/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-4151630
2014,Barrancabermeja,584941529,06/09/2015,08/10/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3595968
2014,Barrancabermeja,465920204,11/07/2014,12/09/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3941635
2014,Barrancabermeja,480158200,29/11/2014,30/01/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3942362
2014,Barrancabermeja,260107963,07/02/2015,09/03/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3540057
2014,Barrancabermeja,360802692,11/09/2014,12/10/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-4122235
2015,Barrancabermeja,7236306223,29/02/2016,30/03/2016,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3931071
2015,Barrancabermeja,2864004225,10/07/2015,11/08/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-4174733
2015,Barrancabermeja,4230055845,11/06/2015,12/08/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-141769
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
