Year,CIUDAD,Counts,DATE_DUE,DATE_DELIVERED,Link
2013,Barranquilla,687260284,06/05/2013,04/08/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-145627
2010,Barranquilla,129808938,30/12/2010,29/01/2011,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3607191
2010,Barranquilla,113523609,06/01/2011,06/09/2011,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-13-4424841
2012,Barranquilla,268869919,11/08/2012,12/11/2012,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-13-3849518
2013,Barranquilla,872651000,25/04/2014,24/06/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-136670
2015,Barranquilla,1038999971,21/10/2015,23/11/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3502760
2014,Barranquilla,597807904,01/01/2016,01/07/2016,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-132901
2012,Barranquilla,672476687,31/12/2013,01/08/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-141481
2012,Barranquilla,453376865,31/12/2013,01/08/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-3747949
2010,Barranquilla,93143439,20/02/2011,22/03/2011,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-4220276
2010,Barranquilla,66456260,27/02/2011,29/03/2011,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-4408858
2010,Barranquilla,66438842,27/02/2011,29/03/2011,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-3897537
2015,Barranquilla,65072674,07/09/2015,09/10/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-139233
2013,Barranquilla,13438082393,05/02/2015,07/04/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-130305
2013,Barranquilla,5143331154,15/01/2015,15/03/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-136032
2014,Barranquilla,408943732,22/06/2015,22/12/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-131961
2010,Barranquilla,8011238317,31/10/2012,03/01/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-4001641
2011,Barranquilla,27462017194,16/10/2011,16/09/2012,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-3722882
2011,Barranquilla,10273926028,20/10/2013,20/10/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-3600916
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
