ID,Year,CIUDAD,Counts,DATE_DUE,DATE_DELIVERED,Link
0,2011,Abejorral,823823709,17/06/2013,17/07/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-138827
1,2013,Abejorral,1087664091,30/06/2014,29/12/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-4332940
2,2014,Abejorral,1860197321,09/06/2015,09/09/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-4332940
3,2014,Abejorral,11943142635,02/05/2015,02/08/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-4332940
4,2014,Abejorral,15789173159,29/10/2015,01/01/2016,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-141936
5,2014,Abejorral,7376355934,10/10/2015,10/12/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-141936
6,2010,Abrego,603923798,21/08/2010,22/10/2010,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-141936
7,2013,Abrego,645999766,06/04/2014,05/06/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-141936
8,2013,Abrego,4695902120,04/04/2014,04/10/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-4165016
9,2014,Abrego,457998400,23/01/2015,24/03/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-13-4292274
10,2015,Abriaqui,25000000,13/11/2015,14/12/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-130595
11,2011,Acacias,4435656706,21/07/2012,22/08/2012,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-132347
12,2011,Acacias,1990843008,07/09/2012,09/12/2012,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3506648
13,2011,Acacias,1251231444,29/04/2012,29/06/2012,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-138470
14,2012,Acacias,1512533567,18/04/2013,18/07/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-147473
15,2012,Acacias,925611131,24/08/2012,25/01/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3687361
16,2012,Acacias,459280113,19/02/2013,21/03/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-130031
17,2013,Acacias,3554743035,22/10/2012,22/11/2012,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-135648
18,2013,Acacias,431024129,25/09/2013,26/10/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-136279
19,2014,Acacias,11200516920,07/01/2015,09/03/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-3807970
20,2014,Acacias,6349649488,07/01/2015,09/04/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-140834
21,2014,Acacias,4678375978,29/07/2015,29/10/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-4-4027010
22,2014,Acacias,2428998212,03/03/2015,03/06/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-4-3831774
23,2014,Acacias,597457281,03/06/2014,04/07/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-3314050
24,2014,Acacias,297678899,15/11/2014,16/12/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-130918
25,2014,Acacias,714131004,30/12/2014,01/03/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3534997
26,2010,Acacias,2499811656,29/10/2011,29/01/2012,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-131320
27,2014,Acacias,40363473,04/08/2014,05/09/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-128188
28,2015,Acandi,98051266,22/05/2015,23/07/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-142613
29,2013,Achi,826546576,12/01/2014,13/05/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-142613
30,2013,Achi,5304230058,30/07/2014,28/12/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-142613
31,2015,Agua de Dios,68000000,29/12/2015,30/01/2016,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-142613
32,2011,Agua de Dios,149739754,07/02/2012,09/06/2012,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3861700
33,2014,Agua de Dios,179874734,13/11/2014,14/12/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-134454
34,2012,Aguachica,4421349773,10/01/2013,12/04/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-136676
35,2012,Aguada,653596965,11/04/2013,13/06/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-3449439
36,2014,Aguada,1343321954,07/01/2015,08/03/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-3973614
37,2013,Aguada,75001681,10/11/2013,11/01/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-130113
38,2015,Aguada,1303758878,27/07/2015,25/09/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-135780
39,2014,Aguadas,107891663,29/04/2015,29/05/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-4052364
40,2015,Aguadas,855005208,05/09/2015,06/11/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-132396
41,2010,Aguadas,124081216,31/01/2011,01/04/2011,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-13-3855748
42,2010,Aguazul,1956073547,27/03/2012,27/08/2012,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-13-3616326
43,2010,Aguazul,251780225,28/03/2011,27/04/2011,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-13-3481682
44,2010,Aguazul,173231379,04/03/2011,03/04/2011,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-138283
45,2013,Aguazul,149995177,12/12/2013,13/04/2020,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-134887
46,2013,Aguazul,3375030808,16/07/2014,16/11/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-134887
47,2013,Aguazul,495168607,23/01/2014,25/03/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-138089
48,2013,Aguazul,473125253,17/12/2013,18/02/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-133139
49,2014,Aguazul,3373690749,07/01/2015,24/01/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-13-3616975
50,2014,Aguazul,2643066603,30/12/2014,30/07/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-4-3720213
51,2014,Aguazul,2511392378,27/03/2015,26/05/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-131224
52,2014,Aguazul,2196411037,22/04/2015,22/06/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-133334
53,2014,Aguazul,2273393494,15/03/2015,17/05/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-134617
54,2014,Aguazul,2020961595,20/02/2015,22/03/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-132933
55,2014,Aguazul,807357376,04/12/2014,05/03/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3356320
56,2014,Aguazul,773470003,23/12/2014,24/03/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-3993023
57,2014,Aguazul,863983987,29/06/2015,28/08/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-3990275
58,2014,Aguazul,716638144,29/04/2015,29/07/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-4-3609066
59,2014,Aguazul,459579281,27/12/2014,28/02/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-128304
60,2014,Aguazul,437827751,23/05/2015,22/07/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-4-3606852
61,2014,Aguazul,535627844,04/08/2015,04/02/2016,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-133008
62,2014,Aguazul,530732525,14/03/2015,13/04/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-140477
63,2014,Aguazul,457782425,23/03/2015,22/04/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-142817
64,2014,Aguazul,229327053,02/01/2015,02/04/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-134376
65,2015,Aguazul,1064407634,08/01/2016,09/02/2016,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-140620
66,2011,Aguazul,1009939176,03/08/2011,04/12/2011,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-4-3781897
67,2011,Aguazul,1503774055,11/11/2011,13/12/2011,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-15-4120725
68,2013,Agustin Codazzi,5117679064,16/06/2014,16/08/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-13-3616307
69,2014,Agustin Codazzi,13501040645,27/01/2016,27/04/2016,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-3464601
70,2014,Agustin Codazzi,3090267714,23/02/2015,23/04/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-133390
71,2015,Agustin Codazzi,1029167586,01/01/2016,31/01/2016,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-127601
72,2013,Aipe,216298075,11/12/2013,12/04/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-138460
73,2015,Aipe,951238187,15/01/2016,16/04/2016,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-127545
74,2015,Aipe,442171605,04/09/2015,06/11/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-4-3644070
75,2010,Albania,9655860818,02/03/2012,03/06/2012,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-139851
76,2013,Albania,2778141460,05/01/2014,06/06/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-141152
77,2013,Albania,2509146691,04/06/2014,04/10/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-135474
78,2013,Albania,2335626961,12/02/2014,13/05/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-137554
79,2014,Albania,5110008083,02/02/2015,04/11/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-143799
80,2012,Alcala,65197457,24/01/2013,24/04/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-139486
81,2013,Alejandria,500000000,01/01/2014,02/03/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3386607
82,2014,Alejandria,70388766,27/02/2015,01/05/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-4105875
83,2015,Alejandria,266452941,28/05/2015,26/10/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-132942
84,2011,Algarrobo,281491093,23/01/2012,25/08/2012,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-4090062
85,2010,Almeida,400433575,30/06/2010,01/10/2010,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-4088454
86,2014,Almeida,284997914,19/09/2014,21/11/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-4308567
87,2014,Almeida,468437000,10/12/2014,11/01/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3821131
88,2015,Almeida,86919175,19/09/2015,21/11/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3894303
89,2013,Amalfi,152501903,23/08/2013,24/10/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-13-3728342
90,2014,Amalfi,78486992,30/08/2014,01/10/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-3975323
91,2013,Angelopolis,96453367,19/07/2013,20/08/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-13-3589164
92,2014,Angostura,25862198,30/12/2014,31/07/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-13-3523692
93,2014,Angostura,22896848,20/12/2014,21/03/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-145914
94,2014,Angostura,15925575,31/12/2014,01/03/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-132104
95,2013,Anolaima,165445862,09/11/2013,10/01/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-142785
96,2014,Anori,560975360,13/07/2015,12/09/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-135729
97,2013,Ansermanuevo,629937518,24/02/2014,26/03/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-136713
98,2012,Apartado,2236937291,26/12/2012,27/01/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-147922
99,2012,Apartado,1111593462,04/07/2013,03/09/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-131539
100,2012,Apartado,550724112,16/05/2013,15/07/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-130613
101,2012,Apartado,241520978,11/11/2012,12/12/2012,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-136544
102,2014,Apartado,3442771326,14/08/2014,13/11/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-131527
103,2014,Apartado,1635759742,28/08/2014,26/02/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3913923
104,2014,Apartado,452280096,02/10/2014,01/02/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-4041240
105,2014,Apartado,632013915,07/09/2014,06/12/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3992104
106,2014,Apartado,442087349,16/02/2015,18/04/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-4035833
107,2014,Apartado,474493437,07/09/2014,06/12/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-131204
108,2015,Apartado,6380343775,09/02/2016,10/09/2016,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-13-3322077
109,2015,Apartado,93837237,05/08/2015,06/09/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-135972
110,2011,Apulo,532662388,16/10/2011,16/11/2011,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-148073
111,2014,Aranzazu,39620483,18/07/2014,17/08/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-146388
112,2015,Aranzazu,482301152,01/01/2016,01/02/2016,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-135638
113,2010,Arauca,1.39E+11,12/11/2010,14/01/2011,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-128806
114,2010,Arauca,1999978673,26/12/2010,27/02/2011,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-3473675
115,2010,Arauca,2299999198,30/12/2010,28/02/2011,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-13-4096574
116,2010,Arauca,1100000000,06/09/2011,05/11/2011,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-136993
117,2010,Arauca,1649999999,01/01/2011,02/04/2011,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-151830
118,2010,Arauca,1618553276,16/01/2011,17/02/2011,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-133889
119,2010,Arauca,1402772090,20/08/2010,21/09/2010,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-148647
120,2010,Arauca,638099858,05/08/2010,06/09/2010,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-13-3918696
121,2010,Arauca,379134482,11/10/2010,12/12/2010,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-3981452
122,2010,Arauca,549979897,13/01/2011,14/04/2011,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-135024
123,2011,Arauca,1721308340,14/03/2012,15/05/2012,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-131881
124,2011,Arauca,854794266,30/01/2012,01/06/2012,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-135640
125,2013,Arauca,249962032,21/03/2013,19/04/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-11-3188864
126,2013,Arauca,304650880,19/06/2013,20/09/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-135379
127,2013,Arauca,8765294970,16/04/2014,16/07/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-129260
128,2013,Arauca,7559529960,09/09/2013,11/03/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-3723741
129,2013,Arauca,8083253850,12/12/2014,15/09/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-13-3467211
130,2013,Arauca,5277109514,24/11/2014,26/08/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-137997
131,2013,Arauca,3809353853,27/07/2014,28/02/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-138477
132,2013,Arauca,2784954236,08/12/2014,09/02/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-130839
133,2013,Arauca,2620811087,10/09/2014,11/01/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-130871
134,2013,Arauca,2915725491,21/12/2013,20/07/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-130759
135,2013,Arauca,1473926360,25/07/2014,26/11/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-130844
136,2013,Arauca,1428154265,18/08/2013,19/09/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-130930
137,2013,Arauca,1465720601,05/06/2013,06/12/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-130931
138,2013,Arauca,1603628263,21/02/2014,23/07/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-137200
139,2013,Arauca,964514460,25/12/2013,25/04/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-4099240
140,2013,Arauca,666399537,20/05/2013,21/06/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3495324
141,2014,Arauca,6119813672,10/08/2014,11/09/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-4-3666134
142,2014,Arauca,1880326092,19/06/2015,21/08/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-13-3790036
143,2014,Arauca,576221393,04/10/2014,05/11/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-138026
144,2014,Arauca,304716508,06/01/2015,06/02/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-138639
145,2015,Arauca,2557338244,25/05/2015,23/08/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-130817
146,2015,Arauca,2403868106,21/06/2015,20/08/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-136327
147,2015,Arauca,2146400078,01/06/2015,09/07/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-136327
148,2015,Arauca,1367794530,08/06/2015,07/08/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-130817
149,2015,Arauca,1210894632,28/04/2015,27/06/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-136327
150,2013,Arauca,349996640,22/08/2013,23/09/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-136327
151,2010,Arauca,584605326,29/12/2010,29/01/2011,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-141336
152,2013,Arauca,14496000,26/08/2013,25/09/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-136327
153,2010,Arauquita,1619999428,14/06/2011,16/07/2011,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=13-11-2183739
154,2010,Arauquita,513090624,16/04/2011,18/07/2011,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-136327
155,2010,Arauquita,449998613,26/11/2010,28/01/2011,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-136327
156,2010,Arauquita,149978016,24/10/2010,25/11/2010,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-136327
157,2011,Arauquita,8915308369,17/03/2012,17/05/2012,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-136327
158,2011,Arauquita,2699995624,30/01/2012,01/05/2012,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-136327
159,2011,Arauquita,549927054,23/12/2011,25/02/2012,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-4009994
160,2013,Arauquita,329830405,06/07/2013,07/09/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3671024
161,2013,Arauquita,441455167,31/12/2013,01/04/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3452608
162,2013,Arauquita,185995755,01/07/2013,01/08/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-143739
163,2013,Arauquita,172479449,18/07/2014,19/08/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-143739
164,2013,Arauquita,8626886020,08/03/2014,08/11/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-4-3831805
165,2013,Arauquita,649998045,25/07/2013,26/08/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-4-3968934
166,2013,Arauquita,767351510,16/10/2013,17/12/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-142021
167,2013,Arauquita,375565596,07/01/2014,09/02/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-143739
168,2014,Arauquita,120059153,03/04/2015,02/06/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3599665
169,2015,Arauquita,14070307745,30/12/2015,01/04/2016,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-4001105
170,2015,Arauquita,89972315,01/12/2015,02/01/2016,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-4-4122875
171,2012,Arbelaez,236504023,16/01/2013,17/04/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-143739
